ssn,name,role,rank,crewlicense,address,phonenumber,email
3009907461,William Carillo,Pilot,Captain,NAFokkerF100,Fellsmuli 1,8998801,william@NaN.is
2910858778,Virginia Ho,Pilot,Captain,NABAE146,Fellsmuli 2,8998802,virginia@NaN.is
2706838569,Gerard Nelson,Pilot,Captain,NAFokkerF100,Fellsmuli 3,8998803,gerard@NaN.is
2209955782,Allen Ley,Pilot,Captain,NABAE146,Fellsmuli 4,8998804,allen@NaN.is
2907675667,Felecia Moye,Pilot,Captain,NABAE146,Fellsmuli 5,8998805,felecia@NaN.is
1309797899,Tyler Anderson,Pilot,Captain,NAFokkerF28,Fellsmuli 6,8998806,tyler@NaN.is
2410876598,Nan Gage,Pilot,Copilot,NAFokkerF100,Fellsmuli 7,8998807,nan@NaN.is
2211658134,Charla Johnson,Pilot,Copilot,NABAE146,Fellsmuli 8,8998808,charla@NaN.is
2504939263,Sam Preciado,Pilot,Copilot,NABAE146,Fellsmuli 9,8998809,sam@NaN.is
1900769521,Jasmine Hagadone,Pilot,Copilot,NABAE146,Fellsmuli 10,8998810,jasmine@NaN.is
2500812671,Anna Phillips,Pilot,Copilot,NAFokkerF28,Fellsmuli 11,8998811,Anna@NaN.is
1309927223,Patricia Bates,Pilot,Copilot,NAFokkerF28,Fellsmuli 12,8998812,patricia@NaN.is
1600904199,Sherry Walker,Cabincrew,Flight Service Manager,N/A,Fellsmuli 13,8998813,sherry@NaN.is
0303758167,Margarita Fischer,Cabincrew,Flight Service Manager,N/A,Fellsmuli 14,8998814,margarita@NaN.is
2200763823,Judith Aleshire,Cabincrew,Flight Service Manager,N/A,Fellsmuli 15,8998815,judith@NaN.is
3002688722,Stacey Henrickson,Cabincrew,Flight Attendant,N/A,Fellsmuli 21,8998821,stacey@NaN.is
3003962187,Delores Whitfield,Cabincrew,Flight Attendant,N/A,Fellsmuli 22,8998822,delores@NaN.is
1311772221,Maribel Lucero,Cabincrew,Flight Attendant,N/A,Fellsmuli 23,8998823,maribel@NaN.is
2509913418,Katherine Wernimont,Cabincrew,Flight Attendant,N/A,Fellsmuli 24,8998824,katherine@NaN.is
